Country,Year,Period,Item code,Item name,Value,Undertaking type
AUSTRIA,2016,Q4,R0410,Cash and cash equivalents,55536,Non-Life undertakings
AUSTRIA,2016,Q4,R0410,Cash and cash equivalents,151441,Other undertakings
AUSTRIA,2016,Q4,R0420,"Any other assets, not elsewhere shown",6053,Life undertakings
AUSTRIA,2016,Q4,R0420,"Any other assets, not elsewhere shown",10835,Non-Life undertakings
AUSTRIA,2016,Q4,R0420,"Any other assets, not elsewhere shown",16754,Other undertakings
AUSTRIA,2017,Q1,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2017,Q1,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2017,Q1,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2017,Q1,R0040,Deferred tax assets,455,Life undertakings
AUSTRIA,2017,Q1,R0040,Deferred tax assets,21327,Non-Life undertakings
AUSTRIA,2017,Q1,R0040,Deferred tax assets,87862,Other undertakings
AUSTRIA,2017,Q1,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2017,Q1,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2017,Q1,R0050,Pension benefit surplus,4813,Other undertakings
AUSTRIA,2017,Q1,R0060,"Property, plant & equipment held for own use",526,Life undertakings
AUSTRIA,2017,Q1,R0060,"Property, plant & equipment held for own use",19820,Non-Life undertakings
AUSTRIA,2017,Q1,R0060,"Property, plant & equipment held for own use",71488,Other undertakings
AUSTRIA,2017,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),696180,Life undertakings
AUSTRIA,2017,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),2008934,Non-Life undertakings
AUSTRIA,2017,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),7523755,Other undertakings
AUSTRIA,2017,Q1,R0220,Assets held for index-linked and unit-linked contracts,367243,Life undertakings
AUSTRIA,2017,Q1,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2017,Q1,R0220,Assets held for index-linked and unit-linked contracts,1601553,Other undertakings
AUSTRIA,2017,Q1,R0230,Loans and mortgages,12964,Life undertakings
AUSTRIA,2017,Q1,R0230,Loans and mortgages,135512,Non-Life undertakings
AUSTRIA,2017,Q1,R0230,Loans and mortgages,303560,Other undertakings
AUSTRIA,2017,Q1,R0270,Reinsurance recoverables from:,7956,Life undertakings
AUSTRIA,2017,Q1,R0270,Reinsurance recoverables from:,69823,Non-Life undertakings
AUSTRIA,2017,Q1,R0270,Reinsurance recoverables from:,299265,Other undertakings
AUSTRIA,2017,Q1,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2017,Q1,R0350,Deposits to cedants,155760,Non-Life undertakings
AUSTRIA,2017,Q1,R0350,Deposits to cedants,521,Other undertakings
AUSTRIA,2017,Q1,R0360,Insurance and intermediaries receivables,1250,Life undertakings
AUSTRIA,2017,Q1,R0360,Insurance and intermediaries receivables,21932,Non-Life undertakings
AUSTRIA,2017,Q1,R0360,Insurance and intermediaries receivables,85461,Other undertakings
AUSTRIA,2017,Q1,R0370,Reinsurance receivables,13,Life undertakings
AUSTRIA,2017,Q1,R0370,Reinsurance receivables,40498,Non-Life undertakings
AUSTRIA,2017,Q1,R0370,Reinsurance receivables,13264,Other undertakings
AUSTRIA,2017,Q1,R0380,"Receivables (trade, not insurance)",1932,Life undertakings
AUSTRIA,2017,Q1,R0380,"Receivables (trade, not insurance)",80515,Non-Life undertakings
AUSTRIA,2017,Q1,R0380,"Receivables (trade, not insurance)",61817,Other undertakings
AUSTRIA,2017,Q1,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2017,Q1,R0390,Own shares (held directly),597,Non-Life undertakings
AUSTRIA,2017,Q1,R0390,Own shares (held directly),0,Other undertakings
AUSTRIA,2017,Q1,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2017,Q1,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2017,Q1,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2017,Q1,R0410,Cash and cash equivalents,3678,Life undertakings
AUSTRIA,2017,Q1,R0410,Cash and cash equivalents,26815,Non-Life undertakings
AUSTRIA,2017,Q1,R0410,Cash and cash equivalents,221169,Other undertakings
AUSTRIA,2017,Q1,R0420,"Any other assets, not elsewhere shown",5779,Life undertakings
AUSTRIA,2017,Q1,R0420,"Any other assets, not elsewhere shown",6003,Non-Life undertakings
AUSTRIA,2017,Q1,R0420,"Any other assets, not elsewhere shown",16063,Other undertakings
AUSTRIA,2017,Q2,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2017,Q2,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2017,Q2,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2017,Q2,R0040,Deferred tax assets,418,Life undertakings
AUSTRIA,2017,Q2,R0040,Deferred tax assets,21054,Non-Life undertakings
AUSTRIA,2017,Q2,R0040,Deferred tax assets,82214,Other undertakings
AUSTRIA,2017,Q2,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2017,Q2,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2017,Q2,R0050,Pension benefit surplus,4765,Other undertakings
AUSTRIA,2017,Q2,R0060,"Property, plant & equipment held for own use",521,Life undertakings
AUSTRIA,2017,Q2,R0060,"Property, plant & equipment held for own use",19130,Non-Life undertakings
AUSTRIA,2017,Q2,R0060,"Property, plant & equipment held for own use",67757,Other undertakings
AUSTRIA,2017,Q2,R0070,Investments (other than assets held for index-linked and unit-linked contracts),689952,Life undertakings
AUSTRIA,2017,Q2,R0070,Investments (other than assets held for index-linked and unit-linked contracts),2058812,Non-Life undertakings
AUSTRIA,2017,Q2,R0070,Investments (other than assets held for index-linked and unit-linked contracts),7616479,Other undertakings
AUSTRIA,2017,Q2,R0220,Assets held for index-linked and unit-linked contracts,361281,Life undertakings
AUSTRIA,2017,Q2,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2017,Q2,R0220,Assets held for index-linked and unit-linked contracts,1606654,Other undertakings
AUSTRIA,2017,Q2,R0230,Loans and mortgages,14571,Life undertakings
AUSTRIA,2017,Q2,R0230,Loans and mortgages,135572,Non-Life undertakings
AUSTRIA,2017,Q2,R0230,Loans and mortgages,303302,Other undertakings
AUSTRIA,2017,Q2,R0270,Reinsurance recoverables from:,7926,Life undertakings
AUSTRIA,2017,Q2,R0270,Reinsurance recoverables from:,73207,Non-Life undertakings
AUSTRIA,2017,Q2,R0270,Reinsurance recoverables from:,304054,Other undertakings
AUSTRIA,2017,Q2,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2017,Q2,R0350,Deposits to cedants,157983,Non-Life undertakings
AUSTRIA,2017,Q2,R0350,Deposits to cedants,524,Other undertakings
AUSTRIA,2017,Q2,R0360,Insurance and intermediaries receivables,1192,Life undertakings
AUSTRIA,2017,Q2,R0360,Insurance and intermediaries receivables,24090,Non-Life undertakings
AUSTRIA,2017,Q2,R0360,Insurance and intermediaries receivables,71382,Other undertakings
AUSTRIA,2017,Q2,R0370,Reinsurance receivables,5,Life undertakings
AUSTRIA,2017,Q2,R0370,Reinsurance receivables,41558,Non-Life undertakings
AUSTRIA,2017,Q2,R0370,Reinsurance receivables,11927,Other undertakings
AUSTRIA,2017,Q2,R0380,"Receivables (trade, not insurance)",1466,Life undertakings
AUSTRIA,2017,Q2,R0380,"Receivables (trade, not insurance)",66546,Non-Life undertakings
AUSTRIA,2017,Q2,R0380,"Receivables (trade, not insurance)",69277,Other undertakings
AUSTRIA,2017,Q2,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2017,Q2,R0390,Own shares (held directly),669,Non-Life undertakings
AUSTRIA,2017,Q2,R0390,Own shares (held directly),0,Other undertakings
AUSTRIA,2017,Q2,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2017,Q2,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2017,Q2,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2017,Q2,R0410,Cash and cash equivalents,5363,Life undertakings
AUSTRIA,2017,Q2,R0410,Cash and cash equivalents,41450,Non-Life undertakings
AUSTRIA,2017,Q2,R0410,Cash and cash equivalents,181359,Other undertakings
AUSTRIA,2017,Q2,R0420,"Any other assets, not elsewhere shown",5483,Life undertakings
AUSTRIA,2017,Q2,R0420,"Any other assets, not elsewhere shown",6092,Non-Life undertakings
AUSTRIA,2017,Q2,R0420,"Any other assets, not elsewhere shown",13513,Other undertakings
AUSTRIA,2017,Q3,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2017,Q3,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2017,Q3,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2017,Q3,R0040,Deferred tax assets,302,Life undertakings
AUSTRIA,2017,Q3,R0040,Deferred tax assets,19193,Non-Life undertakings
AUSTRIA,2017,Q3,R0040,Deferred tax assets,84015,Other undertakings
AUSTRIA,2017,Q3,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2017,Q3,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2017,Q3,R0050,Pension benefit surplus,4714,Other undertakings
AUSTRIA,2017,Q3,R0060,"Property, plant & equipment held for own use",517,Life undertakings
AUSTRIA,2017,Q3,R0060,"Property, plant & equipment held for own use",19037,Non-Life undertakings
AUSTRIA,2017,Q3,R0060,"Property, plant & equipment held for own use",69663,Other undertakings
AUSTRIA,2017,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),694354,Life undertakings
AUSTRIA,2017,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),2106751,Non-Life undertakings
AUSTRIA,2017,Q3,R0070,Investments (other than assets held for index-linked and unit-linked contracts),7659755,Other undertakings
AUSTRIA,2017,Q3,R0220,Assets held for index-linked and unit-linked contracts,359066,Life undertakings
AUSTRIA,2017,Q3,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2017,Q3,R0220,Assets held for index-linked and unit-linked contracts,1619528,Other undertakings
AUSTRIA,2017,Q3,R0230,Loans and mortgages,13935,Life undertakings
AUSTRIA,2017,Q3,R0230,Loans and mortgages,132018,Non-Life undertakings
AUSTRIA,2017,Q3,R0230,Loans and mortgages,291577,Other undertakings
AUSTRIA,2017,Q3,R0270,Reinsurance recoverables from:,7968,Life undertakings
AUSTRIA,2017,Q3,R0270,Reinsurance recoverables from:,75027,Non-Life undertakings
AUSTRIA,2017,Q3,R0270,Reinsurance recoverables from:,303950,Other undertakings
AUSTRIA,2017,Q3,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2017,Q3,R0350,Deposits to cedants,159035,Non-Life undertakings
AUSTRIA,2017,Q3,R0350,Deposits to cedants,532,Other undertakings
AUSTRIA,2017,Q3,R0360,Insurance and intermediaries receivables,1031,Life undertakings
AUSTRIA,2017,Q3,R0360,Insurance and intermediaries receivables,17754,Non-Life undertakings
AUSTRIA,2017,Q3,R0360,Insurance and intermediaries receivables,57193,Other undertakings
AUSTRIA,2017,Q3,R0370,Reinsurance receivables,1,Life undertakings
AUSTRIA,2017,Q3,R0370,Reinsurance receivables,42316,Non-Life undertakings
AUSTRIA,2017,Q3,R0370,Reinsurance receivables,12538,Other undertakings
AUSTRIA,2017,Q3,R0380,"Receivables (trade, not insurance)",1538,Life undertakings
AUSTRIA,2017,Q3,R0380,"Receivables (trade, not insurance)",43480,Non-Life undertakings
AUSTRIA,2017,Q3,R0380,"Receivables (trade, not insurance)",70287,Other undertakings
AUSTRIA,2017,Q3,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2017,Q3,R0390,Own shares (held directly),727,Non-Life undertakings
AUSTRIA,2017,Q3,R0390,Own shares (held directly),0,Other undertakings
AUSTRIA,2017,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2017,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2017,Q3,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2017,Q3,R0410,Cash and cash equivalents,4829,Life undertakings
AUSTRIA,2017,Q3,R0410,Cash and cash equivalents,33629,Non-Life undertakings
AUSTRIA,2017,Q3,R0410,Cash and cash equivalents,186352,Other undertakings
AUSTRIA,2017,Q3,R0420,"Any other assets, not elsewhere shown",5056,Life undertakings
AUSTRIA,2017,Q3,R0420,"Any other assets, not elsewhere shown",5937,Non-Life undertakings
AUSTRIA,2017,Q3,R0420,"Any other assets, not elsewhere shown",11525,Other undertakings
AUSTRIA,2017,Q4,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2017,Q4,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2017,Q4,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2017,Q4,R0040,Deferred tax assets,244,Life undertakings
AUSTRIA,2017,Q4,R0040,Deferred tax assets,9983,Non-Life undertakings
AUSTRIA,2017,Q4,R0040,Deferred tax assets,85115,Other undertakings
AUSTRIA,2017,Q4,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2017,Q4,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2017,Q4,R0050,Pension benefit surplus,4792,Other undertakings
AUSTRIA,2017,Q4,R0060,"Property, plant & equipment held for own use",512,Life undertakings
AUSTRIA,2017,Q4,R0060,"Property, plant & equipment held for own use",11319,Non-Life undertakings
AUSTRIA,2017,Q4,R0060,"Property, plant & equipment held for own use",76613,Other undertakings
AUSTRIA,2017,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),699456,Life undertakings
AUSTRIA,2017,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),1147687,Non-Life undertakings
AUSTRIA,2017,Q4,R0070,Investments (other than assets held for index-linked and unit-linked contracts),8446475,Other undertakings
AUSTRIA,2017,Q4,R0220,Assets held for index-linked and unit-linked contracts,361840,Life undertakings
AUSTRIA,2017,Q4,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2017,Q4,R0220,Assets held for index-linked and unit-linked contracts,1639226,Other undertakings
AUSTRIA,2017,Q4,R0230,Loans and mortgages,14794,Life undertakings
AUSTRIA,2017,Q4,R0230,Loans and mortgages,13347,Non-Life undertakings
AUSTRIA,2017,Q4,R0230,Loans and mortgages,396897,Other undertakings
AUSTRIA,2017,Q4,R0270,Reinsurance recoverables from:,8361,Life undertakings
AUSTRIA,2017,Q4,R0270,Reinsurance recoverables from:,50194,Non-Life undertakings
AUSTRIA,2017,Q4,R0270,Reinsurance recoverables from:,254220,Other undertakings
AUSTRIA,2017,Q4,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2017,Q4,R0350,Deposits to cedants,104621,Non-Life undertakings
AUSTRIA,2017,Q4,R0350,Deposits to cedants,32895,Other undertakings
AUSTRIA,2017,Q4,R0360,Insurance and intermediaries receivables,1521,Life undertakings
AUSTRIA,2017,Q4,R0360,Insurance and intermediaries receivables,14180,Non-Life undertakings
AUSTRIA,2017,Q4,R0360,Insurance and intermediaries receivables,49229,Other undertakings
AUSTRIA,2017,Q4,R0370,Reinsurance receivables,2,Life undertakings
AUSTRIA,2017,Q4,R0370,Reinsurance receivables,3959,Non-Life undertakings
AUSTRIA,2017,Q4,R0370,Reinsurance receivables,19009,Other undertakings
AUSTRIA,2017,Q4,R0380,"Receivables (trade, not insurance)",2260,Life undertakings
AUSTRIA,2017,Q4,R0380,"Receivables (trade, not insurance)",21636,Non-Life undertakings
AUSTRIA,2017,Q4,R0380,"Receivables (trade, not insurance)",80709,Other undertakings
AUSTRIA,2017,Q4,R0390,Own shares (held directly),0,Life undertakings
AUSTRIA,2017,Q4,R0390,Own shares (held directly),0,Non-Life undertakings
AUSTRIA,2017,Q4,R0390,Own shares (held directly),723,Other undertakings
AUSTRIA,2017,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Life undertakings
AUSTRIA,2017,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Non-Life undertakings
AUSTRIA,2017,Q4,R0400,Amounts due in respect of own fund items or initial fund called up but not yet paid in,0,Other undertakings
AUSTRIA,2017,Q4,R0410,Cash and cash equivalents,7831,Life undertakings
AUSTRIA,2017,Q4,R0410,Cash and cash equivalents,21945,Non-Life undertakings
AUSTRIA,2017,Q4,R0410,Cash and cash equivalents,148877,Other undertakings
AUSTRIA,2017,Q4,R0420,"Any other assets, not elsewhere shown",4597,Life undertakings
AUSTRIA,2017,Q4,R0420,"Any other assets, not elsewhere shown",3624,Non-Life undertakings
AUSTRIA,2017,Q4,R0420,"Any other assets, not elsewhere shown",16821,Other undertakings
AUSTRIA,2018,Q1,R0030,Intangible assets,0,Life undertakings
AUSTRIA,2018,Q1,R0030,Intangible assets,0,Non-Life undertakings
AUSTRIA,2018,Q1,R0030,Intangible assets,0,Other undertakings
AUSTRIA,2018,Q1,R0040,Deferred tax assets,225,Life undertakings
AUSTRIA,2018,Q1,R0040,Deferred tax assets,9686,Non-Life undertakings
AUSTRIA,2018,Q1,R0040,Deferred tax assets,85136,Other undertakings
AUSTRIA,2018,Q1,R0050,Pension benefit surplus,0,Life undertakings
AUSTRIA,2018,Q1,R0050,Pension benefit surplus,0,Non-Life undertakings
AUSTRIA,2018,Q1,R0050,Pension benefit surplus,4728,Other undertakings
AUSTRIA,2018,Q1,R0060,"Property, plant & equipment held for own use",510,Life undertakings
AUSTRIA,2018,Q1,R0060,"Property, plant & equipment held for own use",11308,Non-Life undertakings
AUSTRIA,2018,Q1,R0060,"Property, plant & equipment held for own use",77384,Other undertakings
AUSTRIA,2018,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),700990,Life undertakings
AUSTRIA,2018,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),1157911,Non-Life undertakings
AUSTRIA,2018,Q1,R0070,Investments (other than assets held for index-linked and unit-linked contracts),8362217,Other undertakings
AUSTRIA,2018,Q1,R0220,Assets held for index-linked and unit-linked contracts,350096,Life undertakings
AUSTRIA,2018,Q1,R0220,Assets held for index-linked and unit-linked contracts,0,Non-Life undertakings
AUSTRIA,2018,Q1,R0220,Assets held for index-linked and unit-linked contracts,1618773,Other undertakings
AUSTRIA,2018,Q1,R0230,Loans and mortgages,16187,Life undertakings
AUSTRIA,2018,Q1,R0230,Loans and mortgages,13404,Non-Life undertakings
AUSTRIA,2018,Q1,R0230,Loans and mortgages,393131,Other undertakings
AUSTRIA,2018,Q1,R0270,Reinsurance recoverables from:,5113,Life undertakings
AUSTRIA,2018,Q1,R0270,Reinsurance recoverables from:,53733,Non-Life undertakings
AUSTRIA,2018,Q1,R0270,Reinsurance recoverables from:,264661,Other undertakings
AUSTRIA,2018,Q1,R0350,Deposits to cedants,0,Life undertakings
AUSTRIA,2018,Q1,R0350,Deposits to cedants,125893,Non-Life undertakings
AUSTRIA,2018,Q1,R0350,Deposits to cedants,32837,Other undertakings
AUSTRIA,2018,Q1,R0360,Insurance and intermediaries receivables,1166,Life undertakings
AUSTRIA,2018,Q1,R0360,Insurance and intermediaries receivables,21413,Non-Life undertakings
AUSTRIA,2018,Q1,R0360,Insurance and intermediaries receivables,88073,Other undertakings
AUSTRIA,2018,Q1,R0370,Reinsurance receivables,15,Life undertakings
AUSTRIA,2018,Q1,R0370,Reinsurance receivables,2798,Non-Life undertakings
AUSTRIA,2018,Q1,R0370,Reinsurance receivables,10900,Other undertakings
AUSTRIA,2018,Q1,R0380,"Receivables (trade, not insurance)",1103,Life undertakings
